VO02_113	715757.287	3946670.445	88.991	EC
VO02_114	715756.305	3946669.400	88.989	EC
VO02_117	715760.937	3946666.995	88.994	EC
VO02_118	715759.966	3946665.943	88.992	EC
VO02_121	715764.660	3946663.488	88.996	EC
VO02_122	715763.682	3946662.437	88.995	EC
VO02_125	715768.327	3946660.025	89.005	EC
VO02_126	715767.348	3946658.975	89.004	EC
VO02_129	715776.210	3946652.581	89.022	EC
VO02_130	715775.234	3946651.526	89.022	EC
VO02_133	715779.271	3946649.690	89.037	EC
VO02_134	715778.300	3946648.628	89.038	EC
VO02_137	715782.929	3946646.232	89.052	EC
VO02_138	715781.921	3946645.211	89.050	EC
VO02_141	715786.606	3946642.758	89.072	EC
VO02_142	715785.623	3946641.713	89.074	EC
VO02_145	715790.329	3946639.231	89.089	EC
VO02_146	715789.339	3946638.190	89.090	EC
VO02_149	715793.991	3946635.780	89.112	EC
VO02_150	715793.005	3946634.738	89.110	EC
VO02_153	715797.616	3946632.361	89.134	EC
VO02_154	715796.627	3946631.323	89.134	EC
VO02_157	715801.235	3946628.941	89.163	EC
VO02_158	715800.264	3946627.885	89.162	EC
VO02_161	715804.897	3946625.486	89.191	EC
VO02_162	715803.916	3946624.432	89.190	EC
VO02_165	715808.616	3946621.971	89.223	EC
VO02_166	715807.642	3946620.915	89.222	EC
VO02_169	715812.323	3946618.468	89.256	EC
VO02_170	715811.337	3946617.428	89.255	EC
VO02_173	715816.021	3946614.974	89.288	EC
VO02_174	715815.016	3946613.946	89.286	EC
VO02_177	715819.699	3946611.498	89.323	EC
VO02_178	715818.710	3946610.459	89.319	EC
VO02_181	715823.354	3946608.049	89.355	EC
VO02_182	715822.372	3946606.999	89.353	EC
VO02_185	715827.047	3946604.558	89.388	EC
VO02_186	715826.056	3946603.520	89.388	EC
VO02_189	715830.701	3946601.106	89.422	EC
VO02_190	715829.708	3946600.073	89.420	EC
VO02_193	715834.373	3946597.639	89.454	EC
VO02_194	715833.384	3946596.601	89.452	EC
VO02_197	715838.008	3946594.201	89.487	EC
VO02_198	715837.032	3946593.149	89.483	EC
VO02_201	715841.700	3946590.718	89.520	EC
VO02_202	715840.705	3946589.682	89.518	EC
VO02_205	715845.279	3946587.340	89.551	EC
VO02_206	715844.297	3946586.302	89.550	EC
VO02_209	715848.908	3946583.915	89.582	EC
VO02_210	715847.917	3946582.876	89.582	EC
VO02_213	715852.530	3946580.494	89.616	EC
VO02_214	715851.535	3946579.460	89.615	EC
VO02_217	715855.473	3946577.716	89.643	EC
VO02_218	715854.493	3946576.671	89.641	EC
VO02_221	715859.792	3946573.638	89.685	EC
VO02_222	715858.821	3946572.581	89.683	EC
VO02_289	715705.658	3946719.191	89.099	EC
VO02_290	715704.646	3946718.162	89.098	EC
VO02_293	715709.332	3946715.719	89.093	EC
VO02_294	715708.346	3946714.676	89.092	EC
VO02_297	715712.977	3946712.268	89.082	EC
VO02_298	715712.006	3946711.213	89.081	EC
VO02_301	715716.592	3946708.855	89.075	EC
VO02_302	715715.614	3946707.805	89.071	EC
VO02_305	715720.213	3946705.437	89.062	EC
VO02_306	715719.236	3946704.387	89.061	EC
VO02_309	715723.878	3946701.970	89.058	EC
VO02_310	715722.893	3946700.932	89.055	EC
VO02_313	715727.473	3946698.589	89.051	EC
VO02_314	715726.504	3946697.532	89.046	EC
VO02_317	715731.079	3946695.183	89.035	EC
VO02_318	715730.112	3946694.123	89.035	EC
VO02_321	715734.711	3946691.748	89.028	EC
VO02_322	715733.742	3946690.691	89.025	EC
VO02_325	715738.357	3946688.305	89.015	EC
VO02_326	715737.389	3946687.248	89.013	EC
VO02_329	715742.070	3946684.805	89.004	EC
VO02_330	715741.094	3946683.751	89.004	EC
VO02_333	715745.792	3946681.289	89.000	EC
